X,Y,Z
1.101945009613148,6.517761837793636,0
1.214844545273687,6.529042961921656,0
1.16239507724951,6.61317000404071,0
1.528652827544466,12.82456770101236,0
1.557637293249446,12.68734259282394,0
1.646437466197573,12.82748013860238,0
4.62229607574543,1.311303079964784,0
4.962136054909989,1.967857258899884,0
4.311594981306019,1.882157019690589,0
1.48026047675125,19.52423315289944,0
1.531784023967362,19.38364138950101,0
1.640140865394082,19.46129654639684,0
1.192221184082557,3.166565456934025,0
1.303700173355831,3.156258630738671,0
1.265304174621415,3.247976120072527,0
17.50561719985788,10.74791354757596,0
18.33423552695347,11.11123314629079,0
17.50384854315003,11.87708088212451,0
9.72666394951274,6.460798861754613,0
10.52567538391368,6.784486839757705,0
9.921052051542375,7.086429533170944,0
1.188192366755364,8.933614000261855,0
1.086293977526913,9.002893835160087,0
1.07247954240624,8.927333938759764,0
1.094951256706524,1.430955856932015,0
1.20184713790194,1.432391030574282,0
1.163212750513748,1.53877840367787,0
1.258786036804112,3.083853816943472,0
3.311739001561417,12.75848432853919,0
2.986467570815404,12.86776894532317,0
3.100967669577313,12.61378821444026,0
1.457454454626827,18.04877059791144,0
1.358244953557575,18.00924701192382,0
1.441279312930485,17.92806904951683,0
3.921165517091891,7.08315264975276,0
4.253025726427421,6.859391425398284,0
4.16224119243766,7.214102430374819,0
1.286396000542818,17.31764755099791,0
1.373067984278993,17.25146030553957,0
1.394834751887228,17.38581703279262,0
7.343913809927306,0.0,0
7.848506111293862,0.9169779677324124,0
6.788741763113178,0.9243704485191278,0
12.4030146127765,9.778608133534247,0
12.00438002641122,10.63472560485317,0
11.7111802008292,10.02323686420412,0
10.29777235929196,5.989894286587591,0
1.694391368631714,12.71017346259682,0
1.824966430722639,12.80545667700325,0
17.39107925731322,4.303773327200993,0
18.27983672739474,4.965848586457207,0
17.49302347917587,5.446025932585042,0
3.274445903035724,2.08796576955477,0
3.720815455342493,1.892127233841931,0
3.540844764987938,2.337628252696661,0
1.758726211138036,6.606623087376605,0
1.913472441748165,6.619126748715473,0
1.795063103922694,6.784000458886693,0
1.178706449303597,15.16890080669895,0
1.248173236842643,15.25141832309719,0
1.141994123109934,15.27115049627327,0
2.329032175219058,15.67979933590695,0
2.638146564224471,15.56538953407012,0
2.471529084057946,15.88143941380283,0
5.235802307355453,16.24156398445543,0
5.094202097594128,15.77631448574472,0
5.533518697160506,15.60814101259228,0
4.913789798063992,5.177562965042322,0
4.495971106251276,5.208444111905376,0
4.678336784995933,4.744064671726838,0
1.428606621278825,16.39944908028423,0
1.519509847551288,16.50175739570804,0
1.434258478565415,16.50882291310682,0
4.897906949248623,10.57132184414363,0
5.105330080877801,11.06352102747485,0
4.75177325510976,10.9253934162429,0
2.619149139376337,1.108140820295035,0
2.299357391189151,1.27180317572425,0
2.347271361585224,1.022687492117942,0
1.456977777431074,16.66041433114368,0
1.414320595297675,16.74887094945593,0
