x,porepressure
0.0,1000000.0
0.48275862068966,999854.54019602
0.96551724137931,999709.08039204
1.448275862069,999563.76919018
1.9310344827586,999418.0285956
2.4137931034483,999269.60616365
2.8965517241379,999121.27065784
3.3793103448276,998971.95074358
3.8620689655172,998818.63037789
4.3448275862069,998664.55853171
4.8275862068966,998506.52650904
5.3103448275862,998344.85351815
5.7931034482759,998181.97209841
6.2758620689655,998010.12378936
6.7586206896552,997837.02635972
7.2413793103448,997654.90877233
7.7241379310345,997466.53892984
8.2068965517241,997269.75186051
8.6896551724138,997060.22512762
9.1724137931034,996838.52574764
9.6551724137931,996602.80451639
10.137931034483,996349.25932503
10.620689655172,996078.12984586
11.103448275862,995770.57249213
11.586206896552,995424.77020488
12.068965517241,995029.625742
12.551724137931,994562.6697003
13.034482758621,993989.40053957
13.51724137931,993248.95893062
14.0,992204.73468454
16.0,992483.38617684
16.461538461538,993510.35747795
16.923076923077,994272.72025579
17.384615384615,994884.83581013
17.846153846154,995400.81666743
18.307692307692,995851.57034457
18.769230769231,996253.60346255
19.230769230769,996620.69068923
19.692307692308,996960.77058559
20.153846153846,997276.92487906
20.615384615385,997576.84563898
21.076923076923,997861.21415135
21.538461538462,998135.23596554
22.0,998399.88584569
22.461538461538,998657.11895226
22.923076923077,998908.63702068
23.384615384615,999155.80253605
23.846153846154,999399.52629846
24.307692307692,999640.70289398
24.769230769231,999880.17110557
25.230769230769,1000119.3348644
25.692307692308,1000358.9641566
26.153846153846,1000599.7724607
26.615384615385,1000843.7377181
27.076923076923,1001090.4364262
27.538461538462,1001341.8686628
28.0,1001600.3778029
28.461538461538,1001864.0578303
28.923076923077,1002139.1787825
29.384615384615,1002426.057263
29.846153846154,1002722.9166346
30.307692307692,1003038.3857867
30.769230769231,1003379.0342995
31.230769230769,1003746.6191544
31.692307692308,1004148.3238609
32.153846153846,1004597.5510605
32.615384615385,1005115.2778143
33.076923076923,1005725.5614971
33.538461538462,1006488.5546556
34.0,1007515.4154909
36.0,1007794.5962275
36.48275862069,1006750.2017878
36.965517241379,1006009.6878211
37.448275862069,1005436.8286118
37.931034482759,1004967.2955245
38.413793103448,1004575.5735396
38.896551724138,1004231.152277
39.379310344828,1003927.6127916
39.862068965517,1003650.0246901
40.344827586207,1003394.4257431
40.827586206897,1003162.2957748
41.310344827586,1002936.0478309
41.793103448276,1002731.6154433
42.275862068966,1002530.2479638
42.758620689655,1002345.698901
43.241379310345,1002161.6831774
43.724137931034,1001989.5846958
44.206896551724,1001820.7684455
44.689655172414,1001654.1666464
45.172413793103,1001495.4509357
45.655172413793,1001336.5744218
46.137931034483,1001180.965212
46.620689655172,1001027.1711223
47.103448275862,1000876.4409696
47.586206896552,1000729.4843812
48.068965517241,1000582.5277927
48.551724137931,1000436.0278539
49.034482758621,1000290.685236
49.51724137931,1000145.342618
50.0,1000000.0
