disp_z,id,x,y,z
0.0029683567286878,2660,1,20,0
0.0029682632006353,1511,1.2062543701236,20,0
0.0029684236165877,1510,1.4203528977586,20,0
0.0029682871734321,1687,1.6504381194198,20,0
0.0029682197244977,498,1.9052605082058,20,0
0.0029682117066647,940,2.1945112218402,20,0
0.0029681514331743,1736,2.5291911308386,20,0
0.0029680544362909,996,2.9220284496439,20,0
0.0029680055200851,1548,3.3879634154256,20,0
0.0029679148235765,1677,3.9447163100628,20,0
0.0029677772172376,771,4.6134612240629,20,0
0.0029676433366339,1304,5.4196317219665,20,0
0.0029674836385775,1201,6.3703687184113,20,0
0.0029673424091123,1582,7.3439138099573,20,0
0.0029671918319816,1763,8.3174589015021,20,0
0.0029670529314096,1426,9.2910039930436,20,0
0.0029669233708824,2021,10.264549084585,20,0
0.0029667887098242,2168,11.238094176127,20,0
0.0029666738457099,2070,12.211639267668,20,0
0.0029665689028239,2239,13.18518435921,20,0
0.0029664722609323,2271,14.158729450751,20,0
0.0029663853432446,2282,15.132274542293,20,0
0.0029663097867487,2344,16.105819633834,20,0
0.0029662469015032,2358,17.079364725376,20,0
0.0029661963973226,2357,18.052909816917,20,0
0.0029661631785605,2812,19.026454908459,20,0
0.0029661457388828,2945,20,20,0
