id,porepressure,x,y,z
0,1007998.6721298,1,10,0
0.19191919191919,1007531.7055332,1.1919191919192,10,0
0.38383838383838,1007133.0368245,1.3838383838384,10,0
0.57575757575758,1006785.9968393,1.5757575757576,10,0
0.76767676767677,1006479.9417515,1.7676767676768,10,0
0.95959595959596,1006203.5713481,1.959595959596,10,0
1.1515151515152,1005954.9192969,2.1515151515152,10,0
1.3434343434343,1005727.0706923,2.3434343434343,10,0
1.5353535353535,1005516.5026122,2.5353535353535,10,0
1.7272727272727,1005321.7742957,2.7272727272727,10,0
1.9191919191919,1005139.0908252,2.9191919191919,10,0
2.1111111111111,1004969.9671214,3.1111111111111,10,0
2.3030303030303,1004810.8584137,3.3030303030303,10,0
2.4949494949495,1004659.3569729,3.4949494949495,10,0
2.6868686868687,1004516.6804023,3.6868686868687,10,0
2.8787878787879,1004382.1353358,3.8787878787879,10,0
3.0707070707071,1004251.1597071,4.0707070707071,10,0
3.2626262626263,1004130.0044321,4.2626262626263,10,0
3.4545454545455,1004011.2633834,4.4545454545455,10,0
3.6464646464646,1003899.177374,4.6464646464646,10,0
3.8383838383838,1003791.0206531,4.8383838383838,10,0
4.030303030303,1003686.7819297,5.030303030303,10,0
4.2222222222222,1003587.6278959,5.2222222222222,10,0
4.4141414141414,1003490.4740815,5.4141414141414,10,0
4.6060606060606,1003398.174611,5.6060606060606,10,0
4.7979797979798,1003308.4715786,5.7979797979798,10,0
4.989898989899,1003220.8419296,5.989898989899,10,0
5.1818181818182,1003137.4918671,6.1818181818182,10,0
5.3737373737374,1003054.5418125,6.3737373737374,10,0
5.5656565656566,1002976.1338004,6.5656565656566,10,0
5.7575757575758,1002898.3832147,6.7575757575758,10,0
5.9494949494949,1002824.2745418,6.9494949494949,10,0
6.1414141414141,1002750.5990866,7.1414141414141,10,0
6.3333333333333,1002680.7324783,7.3333333333333,10,0
6.5252525252525,1002611.5657857,7.5252525252525,10,0
6.7171717171717,1002543.7626085,7.7171717171717,10,0
6.9090909090909,1002478.5646558,7.9090909090909,10,0
7.1010101010101,1002413.9947802,8.1010101010101,10,0
7.2929292929293,1002352.3440593,8.2929292929293,10,0
7.4848484848485,1002291.3488373,8.4848484848485,10,0
7.6767676767677,1002230.4879514,8.6767676767677,10,0
7.8686868686869,1002173.2277593,8.8686868686869,10,0
8.0606060606061,1002116.2668435,9.0606060606061,10,0
8.2525252525253,1002059.274041,9.2525252525253,10,0
8.4444444444444,1002004.6303724,9.4444444444444,10,0
8.6363636363636,1001951.3755257,9.6363636363636,10,0
8.8282828282828,1001898.1206789,9.8282828282828,10,0
9.020202020202,1001846.5279925,10.020202020202,10,0
9.2121212121212,1001796.0375545,10.212121212121,10,0
9.4040404040404,1001746.1447902,10.40404040404,10,0
9.5959595959596,1001697.3137046,10.59595959596,10,0
9.7878787878788,1001649.7375534,10.787878787879,10,0
9.979797979798,1001602.2006038,10.979797979798,10,0
10.171717171717,1001555.8008975,11.171717171717,10,0
10.363636363636,1001510.9725001,11.363636363636,10,0
10.555555555556,1001466.1441026,11.555555555556,10,0
10.747474747475,1001421.6962073,11.747474747475,10,0
10.939393939394,1001378.9218901,11.939393939394,10,0
11.131313131313,1001336.1431831,12.131313131313,10,0
11.323232323232,1001293.5265125,12.323232323232,10,0
11.515151515152,1001252.2563378,12.515151515152,10,0
11.707070707071,1001212.3866243,12.707070707071,10,0
11.89898989899,1001172.5169107,12.89898989899,10,0
12.090909090909,1001132.6471971,13.090909090909,10,0
12.282828282828,1001093.1755391,13.282828282828,10,0
12.474747474747,1001055.4560328,13.474747474747,10,0
12.666666666667,1001018.0444834,13.666666666667,10,0
12.858585858586,1000980.6329341,13.858585858586,10,0
13.050505050505,1000943.1906778,14.050505050505,10,0
13.242424242424,1000907.3773174,14.242424242424,10,0
13.434343434343,1000871.9952815,14.434343434343,10,0
13.626262626263,1000836.6132456,14.626262626263,10,0
13.818181818182,1000801.2312098,14.818181818182,10,0
14.010101010101,1000766.8497889,15.010101010101,10,0
14.20202020202,1000733.2869987,15.20202020202,10,0
14.393939393939,1000699.8542727,15.393939393939,10,0
14.585858585859,1000666.4215468,15.585858585859,10,0
14.777777777778,1000633.6979614,15.777777777778,10,0
14.969696969697,1000601.5501483,15.969696969697,10,0
15.161616161616,1000569.680774,16.161616161616,10,0
15.353535353535,1000538.0248655,16.353535353535,10,0
15.545454545455,1000506.7587835,16.545454545455,10,0
15.737373737374,1000476.310065,16.737373737374,10,0
15.929292929293,1000445.8613466,16.929292929293,10,0
16.121212121212,1000415.4477622,17.121212121212,10,0
16.313131313131,1000385.377496,17.313131313131,10,0
16.505050505051,1000356.4838526,17.505050505051,10,0
16.69696969697,1000327.6302281,17.69696969697,10,0
16.888888888889,1000298.7766037,17.888888888889,10,0
17.080808080808,1000269.9229792,18.080808080808,10,0
17.272727272727,1000241.086947,18.272727272727,10,0
17.464646464646,1000213.7100603,18.464646464646,10,0
17.656565656566,1000186.3814847,18.656565656566,10,0
17.848484848485,1000159.0529091,18.848484848485,10,0
18.040404040404,1000131.7243335,19.040404040404,10,0
18.232323232323,1000104.6083833,19.232323232323,10,0
18.424242424242,1000078.4562875,19.424242424242,10,0
18.616161616162,1000052.3041916,19.616161616162,10,0
18.808080808081,1000026.1520958,19.808080808081,10,0
19,1000000,20,10,0
