disp_z,id,x,y,z
0.0029582990727113,2660,1,20,0
0.0029583213798316,1511,1.2062543701236,20,0
0.0029586010824474,1510,1.4203528977586,20,0
0.0029585943071105,1687,1.6504381194198,20,0
0.002958669936635,498,1.9052605082058,20,0
0.0029588231626821,940,2.1945112218402,20,0
0.0029589500433172,1736,2.5291911308386,20,0
0.0029590713296458,996,2.9220284496439,20,0
0.002959278714405,1548,3.3879634154256,20,0
0.0029594904970889,1677,3.9447163100628,20,0
0.0029597122125238,771,4.6134612240629,20,0
0.0029599949587361,1304,5.4196317219665,20,0
0.0029603125884604,1201,6.3703687184113,20,0
0.0029606362066606,1582,7.3439138099573,20,0
0.0029609310554026,1763,8.3174589015021,20,0
0.002961215564214,1426,9.2910039930436,20,0
0.0029614828322537,2021,10.264549084585,20,0
0.002961723691681,2168,11.238094176127,20,0
0.0029619553296336,2070,12.211639267668,20,0
0.0029621687927817,2239,13.18518435921,20,0
0.002962361654613,2271,14.158729450751,20,0
0.0029625341294609,2282,15.132274542293,20,0
0.0029626850258215,2344,16.105819633834,20,0
0.0029628115364101,2358,17.079364725376,20,0
0.0029629102480463,2357,18.052909816917,20,0
0.0029629776567617,2812,19.026454908459,20,0
0.0029630063768287,2945,20,20,0
